object,drug,method,reason,Estimate,SE,IRR,Lower95,Upper95,p_value,prior_mean_log,prior_var_log,shrunken_log_rr,post_se_log,shrunken_irr,lower_ci,upper_ci,z_shrunk,p_shrunk,sig_any
Apixaban,Acetaminophen,poisson_fe,unadjusted,0.0149629726232619,0.12903280681731,1.01507547833771,0.788248937296493,1.3071736325538,0.907682226505831,0,0.25,0.0140286917602351,0.124939507678917,1.01412755562575,0.793856358103617,1.2955173673185,0.112283872578461,0.910598328751892,FALSE
Apixaban,Acetazolamide,poisson_fe,unadjusted,-1.45396935187366,1.22043272663762,0.233641041554575,0.0213646520482294,2.55506788388021,0.233514019028616,0,0.25,-0.20896897050446,0.462676157881759,0.811420413218879,0.327648385850643,2.00948063662498,-0.45165277472081,0.651519144486186,FALSE
Apixaban,Acyclovir,poisson_fe,unadjusted,1.09834602402367,0.363433827243597,2.99920131240253,1.47110780031099,6.11458148098699,0.00250998730204963,0,0.25,0.718654538055145,0.293978684803286,2.05167090764421,1.15310270753476,3.6504584420523,2.44458042438019,0.0145020743451247,TRUE
Apixaban,Adalimumab,poisson_fe,unadjusted,0.446199659350886,1.4292043790754,1.56236337585237,0.0948896232266776,25.72440731874,0.754887440914379,0,0.25,0.048655976093144,0.471951983561323,1.04985911197286,0.416291346501039,2.64767491387113,0.103095182959056,0.917887428095102,FALSE
Apixaban,Albuterol Sulfate,poisson_fe,unadjusted,-0.0481783623421751,0.129277757574324,0.952963799063016,0.739661398431639,1.22777801335884,0.709391646338205,0,0.25,-0.0451594125147953,0.125161838906442,0.955845096016809,0.747907017588416,1.22159550063504,-0.360808157736894,0.7182428640389,FALSE
Apixaban,Alendronate Sodium,poisson_fe,unadjusted,-0.29669410968455,0.439818218898681,0.743271337095719,0.313882107082539,1.76006299206722,0.499940424368613,0,0.25,-0.167268438651786,0.330237018656453,0.845972489139931,0.442846090319625,1.61606812846665,-0.506510261424677,0.612498487915004,FALSE
Apixaban,Alfuzosin Hydrochloride,poisson_fe,unadjusted,-0.215687825883054,0.839074494611164,0.805986870844452,0.155630007539384,4.17409756797216,0.797136746154337,0,0.25,-0.0565192412593048,0.429522446988238,0.945048300400801,0.407227518035609,2.19316291393733,-0.131586234096987,0.895311574437788,FALSE
Apixaban,Allopurinol,poisson_fe,unadjusted,0.419849422768312,0.242104368066697,1.52173240011409,0.9467926743526,2.44580419798917,0.0828884438223421,0,0.25,0.340108281292018,0.217903621527538,1.40509972834061,0.916692847120891,2.15372603024411,1.56081977393403,0.118566280489322,FALSE
Apixaban,Alprazolam,poisson_fe,unadjusted,0.0758819104175116,0.209970887127293,1.07883516744023,0.714865383848319,1.62811816714397,0.717806030369328,0,0.25,0.0645061757665432,0.193593424781562,1.06663216549555,0.729834898538115,1.55885143167117,0.333204373233893,0.738980017212478,FALSE
Apixaban,Amantadine Hydrochloride,poisson_fe,unadjusted,0.0194433144244678,1.26776454244504,1.0196335667069,0.0849769539913319,12.2345243212822,0.987763569869892,0,0.25,0.00261725075934528,0.465131892455105,1.0026206787501,0.402910325787349,2.49496764197566,0.00562690024442454,0.995510406861396,FALSE
Apixaban,Amiodarone Hydrochloride,poisson_fe,unadjusted,-0.16618941365461,0.150607090992558,0.846885807260564,0.630413508632329,1.13769067559381,0.26982597450043,0,0.25,-0.152365311469805,0.144207150121375,0.858674539779815,0.647257336389123,1.13914810047485,-1.05657251628344,0.290706729188832,FALSE
Apixaban,Amitriptyline Hydrochloride,poisson_fe,unadjusted,0.139315566650358,0.576189970458232,1.14948678246892,0.371570457708954,3.55604121817922,0.808944779187786,0,0.25,0.0598439827159837,0.377638371326356,1.06167089461392,0.506451241698239,2.22557473586353,0.158469020258183,0.874087230433014,FALSE
Apixaban,Amlodipine Besylate,poisson_fe,unadjusted,-0.160519686868204,0.1259792081675,0.851701056080462,0.665352079964454,1.09024185956904,0.202601039438885,0,0.25,-0.150937702147612,0.122161284166435,0.859901266992791,0.676803824997647,1.09253252074688,-1.23556086674704,0.216621838506458,FALSE
Apixaban,Amoxicillin,poisson_fe,unadjusted,0.334079917105168,0.160202481013189,1.39665475571958,1.0202860756734,1.91186036267983,0.0370365944882532,0,0.25,0.302976545048582,0.152562767211682,1.35388270881672,1.0039613467884,1.82576589735901,1.98591406400095,0.0470428668252417,TRUE
Apixaban,Amphetamine Salt Combination,poisson_fe,unadjusted,-0.259650713882929,1.10284153120255,0.771320950457962,0.0888131890175865,6.69873489733114,0.813868858827912,0,0.25,-0.044270936349672,0.455383935340349,0.956694718981156,0.391870657256769,2.33562980125536,-0.097216728377966,0.922554283645667,FALSE
Apixaban,Ampicillin,poisson_fe,unadjusted,0.759769993429087,1.1027034786047,2.13778445947198,0.246220248467262,18.5611151950712,0.490819103469848,0,0.25,0.129569122733155,0.455374214450769,1.13833779376294,0.466282158573723,2.77903177053301,0.284533288494233,0.776001727221145,FALSE
Apixaban,Amylase,poisson_fe,unadjusted,0.468386742141841,0.478290171787949,1.59741507096613,0.625588798850202,4.07893318045285,0.327434686033903,0,0.25,0.244582507919993,0.345622380328052,1.27708802775435,0.648665983868368,2.51431996003116,0.707658189518412,0.479157547650197,FALSE
Apixaban,Anastrozole,poisson_fe,unadjusted,0.386932927989012,0.690860702336016,1.47245772726016,0.380163426647795,5.70315713346312,0.575429150571489,0,0.25,0.1330053076089,0.405048595744396,1.14225606096324,0.516391572399873,2.52666576788537,0.328368766134009,0.742632855896309,FALSE
Apixaban,Apixaban,poisson_fe,unadjusted,0.643996234470646,0.361324286092187,1.90407482505543,0.937818011612855,3.86588964438288,0.0746967324659558,0,0.25,0.423063570839564,0.292858817614774,1.52663134211789,0.859899538990443,2.71032039099928,1.44459905385557,0.148570538708986,FALSE
Apixaban,Apremilast,poisson_fe,unadjusted,-0.96576068568776,1.5322650709108,0.380693501470651,0.0188923117635579,7.67124446578004,0.528509417859183,0,0.25,-0.0929389493472474,0.475333058698115,0.911249130952244,0.358942975978655,2.31338968647376,-0.195523849323245,0.844982868910583,FALSE
Apixaban,Aripiprazole,poisson_fe,unadjusted,0.535832865777406,1.01377769727234,1.70887090982521,0.234295668440349,12.4639085557414,0.597117198841338,0,0.25,0.1048395363969,0.448425813447429,1.11053239602801,0.461130102424882,2.67447775832116,0.233794606048456,0.815144437294091,FALSE
Apixaban,Aspirin,poisson_fe,unadjusted,0.113357201246066,0.26423098223897,1.12003193830712,0.667286677575414,1.87995892168286,0.667917413750021,0,0.25,0.0886107074974077,0.233615838756533,1.0926552110388,0.691234370793127,1.72719335243754,0.37930094110509,0.704464400880151,FALSE
